# MAd/MH = 0.00642, MPAH/MH = 0.000659, Md/MH = 0.00708
# lambda   C_abs^PAH/H C_abs^Ad/H  C_sca^PAH/H C_sca^Ad/H  C_ext^PAH/H C_ext^Ad/H  C_ext^total/H  Albedo
# [um]     [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]    [cm^2/H]
1.0000e-01 6.3708e-22 5.9689e-22 8.3263e-24 2.2781e-22 6.4541e-22 8.2469e-22 1.4701e-21 1.6062e-01
1.0127e-01 6.1581e-22 5.9002e-22 7.5208e-24 2.2703e-22 6.2334e-22 8.1706e-22 1.4404e-21 1.6284e-01
1.0256e-01 5.9494e-22 5.8291e-22 6.7651e-24 2.2627e-22 6.0170e-22 8.0918e-22 1.4109e-21 1.6517e-01
1.0386e-01 5.7460e-22 5.7566e-22 6.0979e-24 2.2558e-22 5.8069e-22 8.0124e-22 1.3819e-21 1.6765e-01
1.0518e-01 5.5485e-22 5.6818e-22 5.5445e-24 2.2493e-22 5.6040e-22 7.9311e-22 1.3535e-21 1.7028e-01
1.0652e-01 5.3565e-22 5.6042e-22 5.1171e-24 2.2427e-22 5.4076e-22 7.8469e-22 1.3255e-21 1.7306e-01
1.0787e-01 5.1676e-22 5.5235e-22 4.8067e-24 2.2358e-22 5.2157e-22 7.7594e-22 1.2975e-21 1.7602e-01
1.0924e-01 4.9787e-22 5.4393e-22 4.5732e-24 2.2283e-22 5.0244e-22 7.6676e-22 1.2692e-21 1.7917e-01
1.1063e-01 4.7872e-22 5.3525e-22 4.3514e-24 2.2205e-22 4.8307e-22 7.5730e-22 1.2404e-21 1.8253e-01
1.1203e-01 4.5933e-22 5.2641e-22 4.0852e-24 2.2127e-22 4.6341e-22 7.4768e-22 1.2111e-21 1.8608e-01
1.1346e-01 4.4002e-22 5.1768e-22 3.7607e-24 2.2058e-22 4.4379e-22 7.3825e-22 1.1820e-21 1.8979e-01
1.1490e-01 4.2119e-22 5.0911e-22 3.3995e-24 2.1999e-22 4.2459e-22 7.2910e-22 1.1537e-21 1.9363e-01
1.1636e-01 4.0309e-22 4.9999e-22 3.0377e-24 2.1936e-22 4.0613e-22 7.1936e-22 1.1255e-21 1.9760e-01
